name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
110 2019-2020 14USU0110G 5071000020,110,2019-2020,14USU0110G,5071000020,Escolarizada,14,11,,25,,,,1,,,,0
111 2019-2020 14USU0110G 5071300009,111,2019-2020,14USU0110G,5071300009,Escolarizada,92,3,,95,,,,0,,,,0
112 2019-2020 14USU0110G 5071400015,112,2019-2020,14USU0110G,5071400015,Escolarizada,32,28,,60,,,,0,,,,0
113 2019-2020 14USU0110G 5071700019,113,2019-2020,14USU0110G,5071700019,Escolarizada,67,17,,84,,,,1,,,,1
114 2019-2020 14USU0007U 5051100006,114,2019-2020,14USU0007U,5051100006,Escolarizada,4,4,,8,,,,0,,,,0
115 2019-2020 14USU0008T 5021600062,115,2019-2020,14USU0008T,5021600062,Escolarizada,2,3,,5,,,,0,,,,1
116 2019-2020 14USU0008T 5022500001,116,2019-2020,14USU0008T,5022500001,Escolarizada,2,0,,2,,,,0,,,,0
117 2019-2020 14USU0190I 5101100015,117,2019-2020,14USU0190I,5101100015,Escolarizada,6,2,,8,,,,0,,,,0
118 2019-2020 14USU0190I 5101600013,118,2019-2020,14USU0190I,5101600013,Escolarizada,3,13,,16,,,,0,,,,0
119 2019-2020 14USU0200Z 4071500002,119,2019-2020,14USU0200Z,4071500002,Escolarizada,9,0,,9,,,,0,,,,1
120 2019-2020 14USU0200Z 5033100003,120,2019-2020,14USU0200Z,5033100003,Escolarizada,11,12,,23,,,,0,,,,0
121 2019-2020 14USU0200Z 5041100007,121,2019-2020,14USU0200Z,5041100007,Escolarizada,5,4,,9,,,,0,,,,0
